author_id,title,content,publication_date,url,category_id,sourse_id,sourse_type
Redacción UH,Exasesor de ARENA cataloga de ridícula la demolición del monumento a la Reconciliación,"El exasesor político de ARENA, Carlos Araujo, catalogó de ridícula la demolición del monumento a la Reconciliación, un espacio inaugurado durante la gestión del FMLN, que simbolizaba el pacto de los partidos tradicionales y que no era visitado por nadie.  “Pueden derrumbar todos los monumentos que quieran, pero al final de cuentas lo que sucedió los salvadoreños lo saben y saben que sirvió para algo y que este país donde hoy vivimos es gracias a ese proceso de reconciliación (…) Me parece ridículo lo que están haciendo”, indicó Araujo.  La transformación de este espacio, ubicado en el bulevar Monseñor Romero, tendrá una interconexión con el Parque Bicentenario, ya que contará con un circuito ciclopeatonal de 2.5 kilómetros aproximadamente, conectando la calle La Mascota y el bulevar Merliot.  Asimismo, incluirá iluminación subterránea, en la zona aledaña habrá espacio de comercio, plataformas peatonales que se construirán, fuentes, un pequeño anfiteatro con cine incluido y más. ",2024-01-03 10:22:00,https://ultimahora.sv/exasesor-de-arena-cataloga-de-ridicula-la-demolicion-del-monumento-a-la-reconciliacion/,Clase política,Última Hora SV,Web Page
Redacción UH,﻿El Salvador cuenta con la banda musical más grande de Centroamérica,"Banda El Salvador figura como la banda musical más grande de la región de Centroamérica, al ser conformada por 600 niños, niñas y jóvenes provenientes de diferentes partes del país, siendo de tipo marching band. Los niños y jóvenes que integran la Banda El Salvador han recibido su formación en las sedes regionales y central del Sistema de Coros y Orquestas Juveniles. Banda El Salvador realizó su debut el pasado 15 de septiembre de 2022, durante el desfile conmemorativo de los 202 años de la firma del acta de Independencia de Centroamérica.  ¿Sabías que la Banda El Salvador cuenta con 300 nuevos integrantes?🤔🎶  En octubre se realizó una nueva convocatoria para los que deseaban unirse al ensamble, siendo así  600 niños, niñas y jóvenes que la convierten en la banda musical más grande de Centroamérica.🇸🇻🎺🥁 pic.twitter.com/5G6MucOAXU— Ministerio de Cultura (@culturasv) 29 de diciembre de 2023 ",2024-01-02 18:10:00,https://ultimahora.sv/el-salvador-cuenta-con-la-banda-musical-mas-grande-de-centroamerica/,Clase política,Última Hora SV,Web Page
Redacción UH,Manuel «Chino» Flores: “La Puerta del Diablo es un proyecto del FMLN”,"El candidato presidencial del FMLN, Manuel «Chino» Flores, aseveró durante una entrevista que la remodelada Puerta del Diablo es un proyecto del gobierno de su partido y no de la actual administración. «La Puerta del Diablo es un proyecto del FMLN, ellos no lo quieren aceptar», dijo el candidato presidencial. Asimismo, Flores desprestigió los trabajos de remodelación realizados, indicando que sólo colocaron una infraestructura de vidrio, cuando realmente la modernización del parque recreativo incluyo la construcción de seis terrazas polarizas, plazas con locales para diversas ventas, una oficina administrativa para facilitar la comunicación con los visitantes y garantizar su seguridad, asimismo, incorporaron servicios básicos de iluminación y agua. Por otra parte, el candidato del FMLN se refirió al proyecto turístico Surf City, asegurando que también es una iniciativa de su partido político y que el actual Gobierno sólo ha mejorado “un tramito” de calle. Actualmente, la administración del Presidente Nayib Bukele, ha invertido una suma millonaria en esta iniciativa, a través de la cual se ha mejorado toda la infraestructura vial, sistemas de saneamiento y agua potable, además, asistencia técnica y financiera para el sector costero del país.  #ClasesPolítica | «La Puerta del Diablo es un proyecto del FMLN, ellos no lo quieren aceptar», candidato presidencial del FMLN, Manuel «Chino» Flores. Vía: Las cosas como son. pic.twitter.com/NjSbbW6u7k— Última Hora (@ultimahsv) January 2, 2024 ",2024-01-02 09:39:00,https://ultimahora.sv/manuel-chino-flores-la-puerta-del-diablo-es-un-proyecto-del-fmln/,Clase política,Última Hora SV,Web Page
Redacción UH,﻿Presidete Bukele en «empate técnico» en Chile,"De acuerdo a un reciente estudio realizado por la empresa investigadora de mercado y opinión pública, Cadem, sobre los personajes más relevantes en 2023 para los chilenos, el Presidente de El Salvador, Nayib Bukele, resultó en un «empate técnico» con el mandatario de Chile, Gabriel Boric. De acuerdo al estudio, Gabriel Boric obtuvo un 34 %, el Presidente Nayib Bukele un 30 % y Javier Milei, el nuevo mandatario de Argentina, un 24 %. Nayib Bukele se ha posicionado como uno de los referentes políticos más destacados en Latinoamérica, siendo el personaje más relevante para los chilenos proveniente del exterior y que ya ha obtenido un 79 % en cuanto a la percepción positiva de su imagen por los chilenos.  📊#Cadem @GabrielBoric (34%), @nayibbukele (30%) y @JMilei (24%) son los personajes del 2023 para los chilenos.➡️https://t.co/UpjhTVzrbkTodos los datos en un solo lugar.  #InsightChile #PlazaPublica pic.twitter.com/ZoxVSCAsnG— Cadem_cl (@Cadem_cl) 31 de diciembre de 2023 ",2023-12-31 10:02:00,https://ultimahora.sv/presidete-bukele-en-empate-tecnico-en-chile/,Clase política,Última Hora SV,Web Page
Redacción UH,El Salvador pionero en realizar la Gira de Golf Profesional Mexicana,"El Salvador está a pocas semanas de convertirse en el escenario de uno de los torneos de golf más importantes a nivel internacional, la Gira de Golf Profesional Mexicana, evento que por primera vez se disputará fuera de México. «Por primera vez El Salvador va a ser sede de este torneo de golf, nos hemos reunido con Alejandro Quiroz, director de la gira mexicana y la idea obviamente, es posicionar al país como sede de este tipo de eventos deportivos, ya lo hicimos con los torneos de surf, pero este de golf será el primero de muchos que nos van a posicionar de diferente manera», destacó la ministra de Turismo, Morena Valdez sobre el máximo evento deportivo. El torneo se llevará a cabo en El Encanto Country Club, La Libertad, del 18 al 21 de enero, hecho histórico que posicionará al país como pionero en el desarrollo de este campeonato en el extranjero y que es clasificatorio para el ascenso de los golfistas en el Ranking Mundial. Un nuevo capítulo está por escribirse en la Gira de Golf Profesional cuando ésta celebre del 18 al 21 de enero su primera etapa fuera de México en la sexta etapa correspondiente a la temporada 2023-24.¡Nos vemos pronto, El Encanto ! ¡Nos vemos muy pronto, El Salvador 🇸🇻! 🏌️‍♂️ pic.twitter.com/eKC1UGfn4g— giragolfmx (@giragolfmx) 29 de diciembre de 2023 ",2023-12-30 11:55:00,https://ultimahora.sv/el-salvador-pionero-en-realizar-la-gira-de-golf-profesional-mexicana/,DeportesNacionalesportadaPortada,Última Hora SV,Web Page
Redacción UH,Autoridades recuperan a recién nacido robado en hospital San Juan de Dios,"La oportuna respuesta de las autoridades de El Salvador dieron como resultado la ubicación del recién nacido que fue robado esta mañana, en el hospital San Juan de Dios, en San Miguel.  «Hemos localizado en Nueva Guadalupe, San Miguel, al bebé que fue robado esta mañana en el Hospital San Juan de Dios. Está siendo atendido por médicos especialistas para descartar cualquier lesión y entregarlo a su familia», publicó la Policía Nacional Civil (PNC), en X.  Por este hecho, han sido capturados un hombre y una mujer que se hicieron pasar por padres del bebé robado, mientras que la persona que ejecutó el delito, sigue prófuga, pero la PNC esta tras su pista para capturarla.   EN DESARROLLO:Hemos localizado en Nueva Guadalupe, San Miguel, al bebé que fue robado esta mañana en el Hospital San Juan de Dios.Está siendo atendido por médicos especialistas para descartar cualquier lesión y entregarlo a su familia.El hecho ocurrió esta mañana, cuando… pic.twitter.com/6iAheZ3x6i— PNC El Salvador (@PNCSV) 30 de diciembre de 2023 ",2023-12-30 10:57:00,https://ultimahora.sv/autoridades-recuperan-a-recien-nacido-robado-en-hospital-san-juan-de-dios/,Lo Últimoportada,Última Hora SV,Web Page
Redacción UH,Michelle Sol: Cerca de $100 millones han sido recuperados en viviendas que tenían las pandillas,"En el período de Gobierno del Presidente Nayib Bukele y como parte del #PlanControlTerritorial se ha logrado vender un total de 7,293 casas que fueron recuperadas de las pandillas, con un monto de $94.3 millones. «Estamos incentivando la construcción de vivienda facilitando la tramitología para que se generen nuevas oportunidades para los salvadoreños”, informó la Ministra de Vivienda, Michelle Sol. Además, reporto que a través del Fondo Social para la Vivienda se ha logrado la escrituración de más de $701.3 millones en créditos, superando la meta inicial en el quinquenio de $400 millones. Con esta escrituración se han beneficiado a 33,300 familias, lo que representa más de 139,850 salvadoreños. El detalle escriturado por líneas de créditos, es el siguiente: -Vivienda nueva 7,879 créditos por $274.2 millones. -Vivienda usada y otras líneas 18,127 créditos por $332.8 millones. Es importante destacar que del total créditos escriturados: -El 53.2% han sido otorgados a Mujeres generando una inversión por $364.6 millones. -En el Programa Casa Joven se escrituraron 7,324 créditos por $164 millones. -Para personas entre 60 y 70 años se han otorgado 548 créditos por $12.4 millones. https://x.com/misol140/status/1740882210448650493?s=46&t=GPm-j1ozC2tqC5RvVu4bAw ",2023-12-29 20:47:00,https://ultimahora.sv/michelle-sol-cerca-de-100-millones-han-sido-recuperados-en-viviendas-que-tenian-las-pandillas/,Clase políticaLo último,Última Hora SV,Web Page
Redacción UH,Capturan a sujeto que agredió a machetazos a tres personas en la calle al Boquerón,"Elementos de la Policía Nacional Civil, en conjunto con la Fuerza Armada capturaron al sujeto que agredió a machetazos a tres personas en la calle al Boquerón. El implicado fue capturado en Santa Tecla, La Libertad y fue identificado como José Douglas Sánchez, de 37 años de edad.  El hecho quedó grabado en cámaras de seguridad y fue denunciado a través de redes sociales, informaron las autoridades. La rápida acción de las autoridades para capturar a Sánchez refleja un compromiso firme con la seguridad ciudadana.  https://x.com/pncsv/status/1740810906597052630?s=46&t=GPm-j1ozC2tqC5RvVu4bAw ",2023-12-29 13:49:00,https://ultimahora.sv/capturan-a-sujeto-que-agredio-a-machetazos-a-tres-personas-en-la-calle-al-boqueron/,portadaSeguridad ciudadana,Última Hora SV,Web Page
Redacción UH,Gobierno inicia proyecto de mejoramiento vial en Tepetitán,"El Gobierno a través de la Dirección de Obras Municipales (DOM) ha iniciado un proyecto de mejoramiento vial en el municipio de Tepetitán, en San Vicente, en el que se intervendrán 2.5 kilómetros de calle que conduce del casco urbano al cantón La Virgen.  «También las cuadrillas de la DOM construirán un puente de 10 metros de longitud, obras de protección e hidráulicas de descarga con lo cual se beneficiará a más de 8 mil habitantes de Tepetitán y sus alrededores», informó la DOM.  Con esta obra se le dará fin a las inundaciones de calles, con la construcción de cunetas y badenes que también mejorarán el acceso vehicular y peatonal en la zona, que durante años estuvo en estado de abandono por parte de las anteriores autoridades.   #Nacionales | La @ObraMunicipal ha iniciado un proyecto de mejoramiento vial en Tepetitán, San Vicente que comprende la intervención de más de 2.5 km de calle, que incluye la construcción de un puente. pic.twitter.com/m5Y4a3xmD5— Última Hora (@ultimahsv) 29 de diciembre de 2023 ",2023-12-29 11:54:00,https://ultimahora.sv/gobierno-inicia-proyecto-de-mejoramiento-vial-en-tepetitan/,Lo ÚltimoPortada,Última Hora SV,Web Page
Redacción UH,La cena de Navidad en la megacárcel de Bukele,"El portal de noticias del Mundo, BBC publicó un artículo periodístico, de cómo fue la cena navideña el pasado 24 diciembre en el Centro de Confinamiento del Terrorismo (CECOT) para conocer las instalaciones y las condiciones en las que viven miles de pandilleros de la Mara Salvatrucha (MS-13) y del Barrio 18. «Llevo 15 años ingresando en centros penales de Centroamérica y esto es otra cosa, definitivamente. De entrada, sus dimensiones son colosales: 236,00 metros cuadrados, equivalente a 5 veces el Zócalo de la Ciudad de México», detalla el periodista Roberto Valencia en su artículo.   La mega cárcel está construida en Tecoluca, San Vicente, aislada de la urbanización, a 70 kilómetros de la capital, donde más de 40,000 terroristas están incomunicados, una cifra tan alta, pese a ser un país tan pequeño, como herencia de los gobiernos anteriores.  «Los pandilleros no salen de sus celdas, nada que ver con el lugar común al que Hollywood nos tiene acostumbrados, de comedores multitudinarios en los que ocurren peleas y ajustes de cuentas», detalla el comunicador.  Pese a ser un día festivo, el menú es el mismo, según las declaraciones de los reclusos y de las autoridades: «Comeremos un puño de arroz insípido, un caldo hecho base de frijoles y dos tortillas de maíz finitas. De bebida un café ralo».  Eso mismo comen todos los días, tres veces, repartidos por 6 reclusos comunes en fase de confianza, que no son pandilleros, y que trabajan 8 horas diarias, que les permitirá reducir sus condenas. De forma espontánea, las autoridades afirmaron que ese día, el arroz será sustituido por espaguetis. «Nadie acá sabía que Lionel Messi y su Inter Miami vendrán a El Salvador en enero, un tema álgido afuera desde que se confirmó a finales de noviembre», puntualiza el artículo.   La cena de Navidad en la megacárcel de Bukele | Lea más aquí ⬇️ https://t.co/IJhk3xJXEI— Prensa Libre (@prensa_libre) 29 de diciembre de 2023  Tomado de: https://www.bbc.com/mundo/articles/c0wyrd22zgqo ",2023-12-29 10:11:00,https://ultimahora.sv/la-cena-de-navidad-en-la-megacarcel-de-bukele/,Lo Últimoportada,Última Hora SV,Web Page
